order_id,customer_id,order_date,status,amount
o_1001,c_001,2024-03-01,completed,120.00
o_1002,c_001,2024-03-03,completed,80.00
o_1003,c_002,2024-03-05,pending,45.00
o_1004,c_003,2024-03-07,completed,210.00
o_1005,c_004,2024-03-09,cancelled,60.00
o_1006,c_005,2024-03-12,completed,155.00
o_1007,c_006,2024-03-14,refunded,95.00
o_1008,c_007,2024-03-16,completed,310.00
o_1009,c_008,2024-03-18,pending,25.00
o_1010,c_002,2024-03-21,completed,70.00
o_1011,c_003,2024-03-24,completed,180.00
o_1012,c_006,2024-03-26,completed,55.00
o_1013,c_009,2024-03-28,completed,130.00
o_1014,c_010,2024-03-29,pending,40.00
o_1015,c_011,2024-03-30,completed,275.00
o_1016,c_012,2024-04-01,refunded,90.00
o_1017,c_013,2024-04-02,completed,65.00
o_1018,c_014,2024-04-04,cancelled,110.00
