payment_id,order_id,payment_status,payment_amount,payment_updated_at,payment_method
p_2001,o_1001,failed,0.00,2024-03-01T09:55:00Z,card
p_2001,o_1001,paid,120.00,2024-03-01T10:00:00Z,card
p_2002,o_1002,paid,80.00,2024-03-03T11:00:00Z,card
p_2003,o_1003,failed,0.00,2024-03-05T09:00:00Z,card
p_2004,o_1003,failed,0.00,2024-03-05T10:00:00Z,card
p_2005,o_1003,paid,45.00,2024-03-05T12:00:00Z,bank_transfer
p_2006,o_1004,paid,210.00,2024-03-07T13:00:00Z,card
p_2007,o_1005,voided,0.00,2024-03-09T08:00:00Z,card
p_2008,o_1006,paid,155.00,2024-03-12T14:00:00Z,wallet
p_2009,o_1007,paid,95.00,2024-03-14T10:00:00Z,card
p_2010,o_1007,refunded,-95.00,2024-03-15T10:00:00Z,card
p_2011,o_1008,paid,310.00,2024-03-16T16:00:00Z,card
p_2012,o_1009,failed,0.00,2024-03-18T12:00:00Z,card
p_2013,o_1010,paid,70.00,2024-03-21T09:00:00Z,bank_transfer
p_2014,o_1011,failed,0.00,2024-03-24T10:00:00Z,card
p_2015,o_1011,failed,0.00,2024-03-24T11:00:00Z,card
p_2016,o_1011,paid,180.00,2024-03-24T12:00:00Z,card
p_2017,o_1012,paid,55.00,2024-03-26T17:00:00Z,wallet
